Country,Animal fats,Animal Products,Eggs,"Fish, Seafood",Meat,Offals,Cereals - Excluding Beer,Oilcrops,Pulses,Spices,Starchy Roots,Sugar Crops,Vegetable Oils,Vegetables,Vegetal Products,Fruits - Excluding Wine,Treenuts,Milk - Excluding Butter,Miscellaneous,Stimulants,Sugar & Sweeteners
Guatemala,1.7622,15.4397,2.6186,0.1482,7.0735,0.0988,9.3956,3.7879,0.5764,0.1235,0.0247,0,17.8113,0.2553,34.5603,1.2516,0.9305,3.7385,0.0247,0.3788,0
Guinea,0.7557,6.0747,0.3125,0.5014,2.8993,0.1163,4.7086,6.6633,0.1744,0,0.3343,0,30.6133,0.7848,43.9253,0.3415,0.0073,1.4896,0.0363,0.2616,0
Guinea-Bissau,0.6274,10.8323,0.1509,0.0715,8.0527,0.1271,2.8828,1.7154,0.0794,0,0.1985,0,30.3288,0.0794,39.1677,0.2938,3.3116,1.8027,0.0556,0.2224,0
Guyana,1.002,22.7418,0.334,1.169,12.555,0.0531,2.9072,9.3518,0.3871,0.8653,0.129,0,9.0633,1.1538,27.2582,1.503,0.8805,7.6287,0.0911,0.9261,0
Haiti,1.7481,12.1462,0.1353,0.3722,7.8944,0.1353,5.7517,3.3157,0.8458,0,0.5526,0,25.1494,0.1241,37.8482,1.6804,0,1.8608,0.0564,0.3609,0.0226
Honduras,2.6611,16.7113,0.7448,0.1302,7.8603,0.0868,8.3159,0.5857,0.4194,0.0289,0.0217,0,22.8722,0.1157,33.2924,0.376,0.1012,5.2281,0.0651,0.3833,0
Hungary,12.3082,28.9972,1.2018,0.1954,10.0576,0.0033,1.2735,0.3583,0.0391,0.1107,0.0391,0,18.0699,0.2019,21.0012,0.127,0.0456,5.2308,0,0.7393,0
Iceland,7.1086,34.4402,0.8991,1.6872,13.6029,0.1349,4.3005,0.8931,0.012,0.1079,0.03,0,7.4053,0.1678,15.5628,0.4975,0.5005,11.0046,0.1199,1.5254,0
India,7.4859,16.0538,0.7653,0.3783,0.9061,0.0264,5.1196,3.7386,1.1084,0.8005,0.0792,0,21.7804,0.3958,33.9462,0.4046,0.5014,6.4919,0,0.0176,0
Indonesia,0.7049,9.1722,1.4549,2.5122,3.6237,0.1627,6.6871,7.3649,0.0452,0.3886,0.3072,0,24.0918,0.2711,40.8368,0.7139,0.3976,0.7049,0,0.497,0.0633
Iran (Islamic Republic of),6.0372,16.9273,1.3259,0.6114,6.1724,0.1416,5.5867,0.4055,0.2961,0.2124,0.1738,0,20.2935,0.5278,33.0759,0.6243,4.9044,2.6389,0,0.0451,0
